título	id	precio	estado	disponibilidad	canal	etiqueta de feed	idioma	categoría en google product	checkout link template	color	coste de bienes vendidos	descripción	diseño	edad	enlace	enlace imagen	enlace imagen adicional	envío(país envío)	existe identificador	gtin	identificador de grupo	marca	merchant item id	modification info(modification source:modifier)	mpn	peso de embarque	product detail(attribute name:attribute value:section name)	rating average	rating count	sell on google quantity	sexo	sku	tipo producto	todos los clics
AL-KO Stützrad 200x50 für Wohnwagen und Anhänger	14602346451939769393	29.15 EUR	nuevo	agotado	online	AT	de		https://evacaravan.com/de-at/cart/add?id=51750390038870&quantity=1			"AL-KO Stützrad 200x50 mit 48-mm-Rohr. Ideal für Wohnwagen und Anhänger. Langlebig, leicht und einfach zu montieren. AL-KO-Qualität garantiert."			https://evacaravan.com/de-at/products/al-ko-stuetzrad-200x50-fuer-wohnwagen-und-anhaenger	https://evacaravan.com/cdn/shop/files/Rueda_jockey_AL-KO.jpg?v=1764064088		AT		04003718035469	9934125564246	AL-KO												0
Dometic Mini Heki 43-60 mm Without Forced Ventilation	15938730	182.50 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=49001972236630&quantity=1			"Dometic Mini Heki 43-60 mm skylight: double glazing, 3 positions and 50° opening. With pleated blackout blind and mosquito net."			https://evacaravan.com/en-eu/products/dometic-mini-heki-43-60-mm-without-forced-ventilation	https://evacaravan.com/cdn/shop/files/dometic-mini-heki-43-60mm-claraboya-cerrada-cupula-transparente.jpg?v=1765879747	https://evacaravan.com/cdn/shop/files/dometic-mini-heki-43-60mm-claraboya-cerrada-cupula-transparente_1200x1200.jpg?v=1765879747	ES		07315091516563	9224981479766	Dometic												2
"Victron Energy Blue Smart IP65 – Chargeur Intelligent de Batterie 12 V / 7 A, 230 V, avec Bluetooth"	nt-847	118.49 EUR	nuevo	en stock	online	FR	fr		https://evacaravan.com/fr-fr/cart/add?id=51722862035286&quantity=1			"Le Victron Energy Blue Smart IP65 12V 7A est un chargeur de batterie portable, très résistant et avec un rendement très élevé. De plus, il est parfait pour les voitures anciennes, les motos, les camping-cars, les bateaux et les ateliers. Son design robuste et étanche IP65 protège contre l'eau, la poussière et les produ"			https://evacaravan.com/fr-fr/collections/electricidad-energia/products/victron-energy-blue-smart-ip65-12v-7a-cargador-bateria-bluetooth	https://evacaravan.com/cdn/shop/files/victron-energy-blue-smart-ip65-12v-7a-cargador-inteligente-bateria.jpg?v=1764757107		FR		08719076017943	9927437582678	Victron Energy												0
Milenco Beinblocker	3094	71.25 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=48995526738262&quantity=1			"Erhöhen Sie die Sicherheit Ihres Wohnwagens mit dem Milenco Beinblocker: robust, einfach zu montieren und so konstruiert, dass eine Drehung der Mittelachse verhindert wird."			https://evacaravan.com/de/products/milenco-beinblocker	https://evacaravan.com/cdn/shop/files/milenco-bloqueador-patas-primer-plano-cerradura-antirrobo.jpg?v=1765976021		DE		05060101833094	9223525040470	Milenco												1
Réservoir de remplacement pour Truma Therme	13590301967733687961	97.10 EUR	nuevo	en stock	online	ES	fr		https://evacaravan.com/fr/cart/add?id=51722209952086&quantity=1			Remplacez le réservoir original de votre système Truma avec la pièce Truma Therme. Assure un fonctionnement stable.			https://evacaravan.com/fr/products/repuesto-truma-therme-para-termosifon	https://evacaravan.com/cdn/shop/files/truma-therme-contenedor-vista-inclinada.jpg?v=1765466311		ES		04052816012643	9927277773142	Truma												0
Reich Caravan Weight Control CWC: Pesaje Rápido y Fiable	shopify_ES_9230563279190_49023523750230	208.04 EUR		en stock	online	ES	es	1698			141.25 EUR	"Controla el peso de tu caravana o vehículo de forma rápida y precisa con la báscula portátil Reich Caravan Weight Control CWC. Capacidad hasta 1000 kg,"			https://evacaravan.com/products/reich-caravan-weight-control-cwc-bascula-portatil-vehiculos-caravanas-1000kg?variant=49023523750230&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/reich-caravan-weight-control-cwc-bascula-inclinada.jpg?v=1764330434	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/reich-caravan-weight-control-cwc-bascula-inclinada_2.jpg?v=1770978784,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/reich-caravan-weight-control-cwc-bascula-vertical.jpg?v=1770978784,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/Logo_empresa_Reich.jpg?v=1770978770		sí	4037911200300		Reich	gid://shopify/ProductVariant/49023523750230	third party shopify:third party syncing		1.2 kg				2		922555	Accesorios eléctricos	3
DCU12V Modifizierter Sinus-Wechselrichter 600 W	dcu600mo	80.66 EUR	nuevo	agotado	online	DE	de		https://evacaravan.com/de/cart/add?id=42384639361186&quantity=1			"Der 12V 600W modifizierte Sinus-Wechselrichter wandelt Batteriestrom in 220V Wechselstrom um. Ideal für Wohnwagen, Camping oder den mobilen Einsatz."			https://evacaravan.com/de/products/dcu-12v-modifizierter-wellen-wechselrichter-600-w	https://evacaravan.com/cdn/shop/files/inversor-dcu-12v-onda-modificada-600w-1.jpg?v=1764240951		DE			7587136110754	DCU Tecnologic												0
Truma Therme 220V - Water Heater	921003	258.50 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=42216206893218&quantity=1	gris		"The Truma Therme 220V heats your motorhome's water efficiently and quickly. Ideal for camping, easy to install, and perfect for everyday use."	Solid		https://evacaravan.com/en-eu/products/truma-therme-220v-water-heater	https://evacaravan.com/cdn/shop/files/truma-therme-calentador-agua-vista-frontal.jpg?v=1764687089		ES		04052816014791	7522112536738	Truma												0
Reich Caravan Weight Control CWC – Balance Portable pour Véhicules et Caravanes (jusqu'à 1000 kg)	922555	216.35 EUR	nuevo	en stock	online	FR	fr		https://evacaravan.com/fr-fr/cart/add?id=49023523750230&quantity=1			Contrôlez le poids de votre caravane ou véhicule rapidement et précisément avec la balance portable Reich Caravan Weight Control CWC. Capacité jusqu'à 1000 kg.			https://evacaravan.com/fr-fr/products/reich-caravan-weight-control-cwc-bascula-portatil-vehiculos-caravanas-1000kg	https://evacaravan.com/cdn/shop/files/reich-caravan-weight-control-cwc-bascula-inclinada.jpg?v=1764330434		FR		04037911200300	9230563279190	Reich												0
Dometic Belüfter GY20	14297096610660121991	57.13 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=49001960898902&quantity=1			Verbessern Sie die Luftqualität in Ihrem Wohnwagen mit dem Dometic GY20 Luftentlüftungsgerät. Dank seines effizienten Designs werden Gerüche und Feuchtigkeit auf natürliche Weise beseitigt.			https://evacaravan.com/de-at/products/dometic-beluefter-gy20	https://evacaravan.com/cdn/shop/files/dometic-ventilador-seta-gy20-vista-inferior-salida-aire.jpg?v=1765534729		AT		00240958049939	9224977744214	Dometic												0
Regulador de gas Truma DuoControl CS Vertical para Caravanas	shopify_ES_7522159394978_42216299954338	187.00 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/regulador-gas-truma-duocontrol-cs-vertical?variant=42216299954338&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					4052816037103														0
Pack of 3 Fiamma Safe Door Frame Security Locks	15939248	157.38 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en/cart/add?id=42203279556770&quantity=1			"Enhance the security of your motorhome with the Fiamma Safe Door Frame 3 Pack. Durable, easy-to-install, and stylish security locks."			https://evacaravan.com/en/products/pack-3-security-locks-fiamma-safe-door-frame	https://evacaravan.com/cdn/shop/files/fiamma-safe-door-frame-pack-3-cierres-seguridad.jpg?v=1764325728		ES		08004815386443	7516185854114	Fiamma												0
Marche manuelle Thule Peldaño Simple 550 mm	7298645796959179317	193.00 EUR	nuevo	en stock	online	BE	fr		https://evacaravan.com/fr-be/cart/add?id=42234404765858&quantity=1	plateado		"La Thule Peldaño Simple 550 mm est une marche manuelle conçue pour améliorer l'accès aux caravanes et aux camping-cars. De plus, elle offre une structure résistante, légère et facile à manipuler. Grâce à sa fabrication en aluminium anodisé ondulé, elle offre une surface de marche ferme et stable dans toute situation. D"	Solid		https://evacaravan.com/fr-be/products/escalon-manual-thule-peldano-simple-550-mm	https://evacaravan.com/cdn/shop/files/escalon-manual-thule-slide-out-550mm-autocaravana.jpg?v=1764168690		BE		05415182010535	7528434565282	Thule												0
HeoSolution – Heo Safe Zusatzsicherheitsschloss	9711727177635870230	106.58 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=51722340532566&quantity=1			Das zusätzliche Sicherheitsschloss Heo Safe bietet effektiven Schutz vor Diebstahl. Sichern Sie Ihr Fahrzeug und reisen Sie unbesorgt.			https://evacaravan.com/de-at/products/heosolution-heo-safe-zusatzsicherheitsschloss	https://evacaravan.com/cdn/shop/files/heosolution-heosafe-cerradura-adicional-seguridad-con-llaves.jpg?v=1764234563		AT		04260361070210	9927315489110	HEOSolution												0
"Thule Manuelle Trittstufe, Einzelstufe, 550 mm"	933700	193.00 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=42234404765858&quantity=1	plateado		"Die manuelle Einstiegsstufe Thule Single Step (550 mm) bietet einen komfortablen und sicheren Zugang für Wohnwagen und Wohnmobile. Robustes, leichtes Design und einfache Montage."	Solid		https://evacaravan.com/de/products/thule-manuelle-trittstufe-einzelstufe-550-mm	https://evacaravan.com/cdn/shop/files/escalon-manual-thule-slide-out-550mm-autocaravana.jpg?v=1764168690		DE		05415182010535	7528434565282	Thule												0
Pack 2 Cerraduras Cab Lock Thule para Autocaravanas	shopify_ES_7528258044066_42234067288226	123.59 EUR	nuevo	en stock	online	ES	es	8303			72.39 EUR	"Aumenta la seguridad de tu caravana con el Pack 2 cerraduras Cab Lock Thule. Fácil de instalar y protege tus puertas, ¡Consíguelo ahora!"		adultos	https://evacaravan.com/products/pack-2-cerraduras-cab-lock-thule?variant=42234067288226&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thule-cab-lock-pack-dos-cerraduras-con-llaves.jpg?v=1764320845	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thule-cab-lock-pack-dos-cerraduras-horizontal.jpg?v=1764320869,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thule-cab-lock-pack-dos-cerraduras-vertical.jpg?v=1764320894,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thule-cab-lock-cerradura-posicion-vertical.jpg?v=1764320923,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thule-cab-lock-cerradura-detalle-llave.jpg?v=1764320945,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thule-cab-lock-cerradura-instalada-puerta.jpg?v=1764320968		sí	5415182019286		Thule	gid://shopify/ProductVariant/42234067288226	third party shopify:third party syncing		0 kg					unisex	15935711	Cerraduras	0
Rueda Jockey Automática 400 kg 60 mm para remolques	shopify_ES_9230583267670_49023552749910	59.10 EUR		en stock	online	ES	es	5613			28.70 EUR	La rueda jockey automática 400 kg 60 mm mejora la estabilidad del remolque y facilita las maniobras. Instálala fácilmente y mueve tu carga con seguridad.			https://evacaravan.com/products/rueda-jockey-automatica-400kg-60mm?variant=49023552749910&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/rueda-jockey-automatica-400kg-tubo-60mm-acero-vista-general.jpg?v=1764332652	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/rueda-jockey-automatica-400kg-medidas-soporte-anclaje.jpg?v=1764332679,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/rueda-jockey-automatica-400kg-detalle-rueda-y-anclaje.jpg?v=1764332699,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/rueda-jockey-automatica-400kg-detalle-manivela.jpg?v=1764332720,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/rueda-jockey-automatica-400kg-detalle-rueda-goma.jpg?v=1764332743,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/rueda-jockey-automatica-400kg-tubo-60mm-acero-vista-completa.jpg?v=1764332766					AL-KO	gid://shopify/ProductVariant/49023552749910	third party shopify:third party syncing		0 kg				23		JOCKEY-FA860	Ruedas jockey	5
Thetford Aqua KEM Blau – Konvolut von 90 Chemietoilettenbeuteln	17062066268908489101	83.45 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=48582444286294&quantity=1	azul		Mit den Thetford Aqua Kem Blue 90-Beuteln bleiben Ihre Fäkalientanks frisch und geruchsfrei. So einfach kann die Entsorgung von Feststoffabfällen sein!	Solid		https://evacaravan.com/de-at/products/thetford-aqua-kem-blau-90-chemietoilettenbeutel	https://evacaravan.com/cdn/shop/files/thetford-aqua-kem-blue-pack-90-bolsas-wc-quimico.jpg?v=1764592723		AT		08710315030686	9082425540950	Thetford												0
Thetford Aqua Kem Blue: Fórmula Concentrada Superior	shopify_ES_10026072834390_52057012961622	18.81 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/thetford-aqua-kem-blue-concentrado?variant=52057012961622&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8710315025811														0
"Victron Energy Blue Smart IP22 – 12V/30A Battery Charger, 230V, 3 Outlets, with Bluetooth"	nt-838	186.70 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=51722702455126&quantity=1			"Discover the Victron Energy Blue Smart IP22 12V 30A, the ideal charger for vehicles and boats with Bluetooth for easy monitoring. Buy now!"			https://evacaravan.com/en-eu/products/victron-energy-blue-smart-ip22-12v-30a-battery-charger-bluetooth-3-outputs	https://evacaravan.com/cdn/shop/files/victron-energy-blue-smart-ip22-12v-30a-cargador-bateria-3-salidas.jpg?v=1764755934		ES		08719076052401	9927420772694	Victron Energy												0
Fiamma Aqua 8 10 Liter 12V	10723561100785796690	117.50 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=49001137963350&quantity=1			"Die Fiamma Aqua 8 10-Liter-12V-Pumpe bietet einen stabilen Durchfluss, einen leisen Betrieb und eine hohe Zuverlässigkeit für Wohnwagen, Wohnmobile und Boote."			https://evacaravan.com/de-at/products/fiamma-aqua-8-10-liter-12v	https://evacaravan.com/cdn/shop/files/Bomba_Fiamma_Aqua_8_12V_de_10_L_min.jpg?v=1764171046		AT		08004815280826	9224651112790	Fiamma												0
Thule Universal Look Thule x2 Schwarz – 2er-Set Sicherheitsschlösser für Wohnmobil- oder Campertüren	15939171	159.30 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=49001092546902&quantity=1			Erhöhen Sie die Sicherheit Ihres Wohnmobils mit dem Thule Universal Lock x2 in Schwarz. Sein unauffälliges und funktionales Design schützt Ihre Türen vor unbefugtem Zugriff.			https://evacaravan.com/de/products/thule-universal-lock-x2-schwarz-2er-set-sicherheitsschloesser-fuer-wohnmobil-oder-campertueren	https://evacaravan.com/cdn/shop/files/thule-universal-lock-negro-cerradura-seguridad-con-llaves.jpg?v=1764599622		DE		05415182044936	9224636596566	Thule												0
Bomba Shurflo 10 litros 12V 30 PSI de Alta Presión	shopify_ES_9223620919638_48995896721750	85.62 EUR		en stock	online	ES	es	500101			50.95 EUR	La bomba Shurflo 10 litros 12V 30 PSI ofrece presión estable y funcionamiento seguro en caravanas y campers. ¡Instálala y mejora tu sistema de agua!			https://evacaravan.com/products/bomba-shurflo-10-litros-12v-30psi?variant=48995896721750&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/bomba-agua-shurflo-12v-30psi-frontal.jpg?v=1764334585	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/bomba-shurflo-12v-kit-completo-accesorios.jpg?v=1764334604,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/bomba-shurflo-12v-caja-y-manual.jpg?v=1764334630,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/bomba-agua-shurflo-12v-componentes.jpg?v=1764334657,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/shurflo-12v-bomba-agua-con-filtro.jpg?v=1764334698,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/bomba-shurflo-12v-conexiones-y-accesorios.jpg?v=1764334716,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/bomba-agua-shurflo-12v-unboxing.jpg?v=1764334732		sí	752324011742		Pentair	gid://shopify/ProductVariant/48995896721750	third party shopify:third party syncing		2.1 kg				10		915125	Bombas de agua	1
