SKU,NOMBRE,KG_REAL,VOL_GLS_167,VOL_UPS_200,PESO_FACTURABLE_KG,PESO_FACTURABLE_GRAMOS,BRACKET_GLS,BRACKET_UPS
SECURITY46,Fiamma Security 46 (921892),1.6,2.042,2.45,2.45,2450,2-3,2-3
932623,Fiamma Security 46 PRO,2.4,3.915,4.698,4.698,4698,3-4,4-5
921134,Fiamma Roll Tank 23W gris,3.6,9.75,11.7,11.7,11700,9-10,10-15
921133,Fiamma Roll Tank 23F azul,3.6,9.75,11.7,11.7,11700,9-10,10-15
15943341,Fiamma Roll Tank 40W gris,5.0,14.112,16.934,16.934,16934,10-15,15-20
15944353,Fiamma Roll Tank 40F azul,4.0,14.112,16.934,16.934,16934,10-15,15-20
15943340,Fiamma Roll Tank 70 azul,4.8,13.824,16.589,16.589,16589,10-15,15-20
15937545,Thetford Fresh-up Set C2/C3/C4 - Izquierdo,5.6,12.395,14.874,14.874,14874,10-15,10-15
15937546,Thetford Fresh-up Set C2/C3/C4 - Derecho,4.9,12.161,14.593,14.593,14593,10-15,10-15
15937544,Thetford Fresh-Up Set C200,4.2,8.942,10.73,10.73,10730,8-9,10-15
15941696,Thetford Fresh-up Set C220,4.0,8.942,10.73,10.73,10730,8-9,10-15
15938572,Thetford Fresh-Up Set C250 | 260,4.2,8.942,10.73,10.73,10730,8-9,10-15
15934842,Thetford Fresh-Up Set C400,4.6,12.489,14.987,14.987,14987,10-15,10-15
15941697,Thetford Fresh-Up Set C500,4.5,12.161,14.593,14.593,14593,10-15,10-15
POTTI145,Thetford Porta Potti Qube 145,4.2,9.503,11.404,11.404,11404,9-10,10-15
POTTI165,Thetford Porta Potti Qube 165,4.5,11.739,14.087,14.087,14087,10-15,10-15
15935140,Thetford Porta Potti Qube 335,4.1,7.7,9.24,9.24,9240,7-8,9-10
15935141,Thetford Porta Potti Qube 345,4.7,9.724,11.669,11.669,11669,9-10,10-15
15935142,Thetford Porta Potti Qube 365,4.8,12.018,14.422,14.422,14422,10-15,10-15
POTTI565P,Thetford Porta Potti 565 P,5.9,14.413,17.296,17.296,17296,10-15,15-20
POTTI565E,Thetford Porta Potti 565 E,6.2,14.413,17.296,17.296,17296,10-15,15-20
WC976,Dometic WC 976,6.0,9.061,10.873,10.873,10873,9-10,10-15
913150,TF-40,3.1,6.267,7.52,7.52,7520,6-7,7-8
15944357+SIKA,Fiamma Vent 28F Cristal (07902-02D) + SIKA,2.9,2.97,3.564,3.564,3564,2-3,3-4
15944357,Fiamma Vent 28F Cristal (07902-02D),2.4,2.97,3.564,3.564,3564,2-3,3-4
VENT28BLANCA+SIKA,Fiamma Vent 28 Blanca (07902-02-) + SIKA,2.9,2.97,3.564,3.564,3564,2-3,3-4
VENT28BLANCA,Fiamma Vent 28 Blanca (07902-02-),2.4,2.97,3.564,3.564,3564,2-3,3-4
915858,Fiamma Vent 40 Blanca (04329B02-),3.5,4.992,5.99,5.99,5990,4-5,5-6
915858-x2+SIKA,Fiamma Vent 40 Blanca X2 + SIKA,7.0,9.984,11.981,11.981,11981,9-10,10-15
928283+SIKA,Fiamma Vent 40 Cristal (04329B02D) + SIKA,3.9,4.992,5.99,5.99,5990,4-5,5-6
928283,Fiamma Vent 40 Cristal (04329B02D),3.5,4.992,5.99,5.99,5990,4-5,5-6
931472,Fiamma Vent 50 Blanca,5.6,8.971,10.765,10.765,10765,8-9,10-15
931473,Fiamma Vent 50 Cristal,5.6,8.971,10.765,10.765,10765,8-9,10-15
924580+SIKA,Fiamma TurboVent Blanco con termostato (03624F02-) + SIKA,5.9,6.086,7.303,7.303,7303,6-7,7-8
924580,Fiamma TurboVent Blanco con termostato (03624F02-),5.5,6.086,7.303,7.303,7303,6-7,7-8
928137,Fiamma TurboVent Cristal con termostato (03624F02D),5.5,6.086,7.303,7.303,7303,6-7,7-8
15944365,Fiamma Turbo Vent PREMIUM Blanca,5.5,6.201,7.441,7.441,7441,6-7,7-8
15944366,Fiamma Turbo Vent PREMIUM Cristal,5.5,6.201,7.441,7.441,7441,6-7,7-8
07050,Aire Acondicionado Clima e-Van 7400H,45.9,42.792,51.35,51.35,51350,PALE,PALE
07430,Aire Acondicionado Silent 8100H,54.2,80.0,96.0,96.0,96000,PALE,PALE
05700,Aire Acondicionado Dual Clima 8400H,54.2,80.0,96.0,96.0,96000,PALE,PALE
932175,Thule Escalon manual Slide Out Step 400 mm,4.6,4.116,4.939,4.939,4939,4-5,4-5
933700,Thule Escalon manual Step 550 mm,5.1,7.134,8.561,8.561,8561,7-8,8-9
15939681,Thule Escalon electrico Slide-Out G2 12V 400 mm,6.8,4.189,5.027,6.8,6800,6-7,6-7
15939682,Thule Escalon electrico Slide-Out G2 12V 550 mm,7.7,5.973,7.168,7.7,7700,7-8,7-8
15939683,Thule Escalon electrico Slide-Out G2 12V 700 mm,8.7,6.84,8.208,8.7,8700,8-9,8-9
931399,Thule Escalon electrico Single Step V15 12V 460 mm,5.7,7.434,8.921,8.921,8921,7-8,8-9
931210,Thule Escalon electrico Single Step V15 12V 550 mm,6.1,7.134,8.561,8.561,8561,7-8,8-9
15938541,AL-KO  Funda Cubierta AKS,0.5,0.667,0.8,0.8,800,0-1,0-1
1220759,AL-KO  Ferodos Fricción 1300,0.5,0.667,0.8,0.8,800,0-1,0-1
1220755,AL-KO  Ferodos Fricción 2004/3004,0.5,0.667,0.8,0.8,800,0-1,0-1
AKS3004,AL-KO  Estabilizador (AKS™ 3004),6.5,2.268,2.722,6.5,6500,6-7,6-7
AKS3004-KS,AL-KO  Estabilizador (AKS™ 3004) + Antirrobo,7.8,2.268,2.722,7.8,7800,7-8,7-8
1730218,AL-KO  161 (1730218),2.6,0.929,1.115,2.6,2600,2-3,2-3
15938549,AL-KO  270 (1730083),2.6,0.929,1.115,2.6,2600,2-3,2-3
1223715,AL-KO  AK 301 3000KG (1223715),4.0,1.24,1.488,4.0,4000,3-4,3-4
1223716/AK351,AL-KO  351 - 3500 kg - ø60 mm (1223716),4.1,1.24,1.488,4.1,4100,4-5,4-5
1310890,AL-KO  Antirrobo Safety 160/300 Ø50mm (1310890),1.4,0.933,1.12,1.4,1400,1-2,1-2
927295,AL-KO  Antirrobo Safety 1300 (1310944),1.4,0.933,1.12,1.4,1400,1-2,1-2
928722,AL-KO  Antirrobo Safety 2004/3004 (1310892),1.4,0.933,1.12,1.4,1400,1-2,1-2
SAFETYPREMIUM2004,AL-KO  Antirrobo Safety Premium 2004/3004 Ø50mm (1730541),5.2,1.52,1.824,5.2,5200,5-6,5-6
1730543,AL-KO  Antirrobo Safety Premium 300/1300 Ø50mm (1730543),5.9,1.52,1.824,5.9,5900,5-6,5-6
934008,Calzos Thule Levelers,3.8,4.104,4.925,4.925,4925,4-5,4-5
926348,Calzos Fiamma Jumbo Level System (97901-016),5.5,3.38,4.056,5.5,5500,5-6,5-6
915826,Calzos Fiamma Level System Magnum (97901-015),2.6,1.7,2.04,2.6,2600,2-3,2-3
15942015,Calzos Fiamma Kit Level Up Premium,7.7,10.5,12.6,12.6,12600,10-15,10-15
15943281,Calzos Fiamma Kit Level Up Premium S,5.0,6.207,7.448,7.448,7448,6-7,7-8
932627,Heo Safe Ducato > 2006,0.6,0.667,0.8,0.8,800,0-1,0-1
HEOSAFEDUCATO2021,Heo Safe Ducato > 2021 (12856),0.5,0.667,0.8,0.8,800,0-1,0-1
1958,Heo Safe Blanco,0.5,0.667,0.8,0.8,800,0-1,0-1
15939239,Fiamma Safe Door,0.7,0.342,0.41,0.7,700,0-1,0-1
15939245,Fiamma Safe Door Frame,0.5,0.667,0.8,0.8,800,0-1,0-1
15939242,Fiamma Safe Door x3,2.2,0.667,0.8,2.2,2200,2-3,2-3
15939248,Fiamma Safe Door Frame x3,1.9,0.933,1.12,1.9,1900,1-2,1-2
SFMAGNUM,Fiamma Safe Door Magnum,0.8,0.432,0.518,0.8,800,0-1,0-1
SFMAGNUMFRAME,Fiamma Safe Door Magnum Frame,0.8,0.432,0.518,0.8,800,0-1,0-1
931608,Fiamma Safe Door Guardiand Standard,0.5,0.667,0.8,0.8,800,0-1,0-1
15935956,Thule Van Lock,0.5,0.667,0.8,0.8,800,0-1,0-1
15935957,Thule Van Lock x2,1.2,0.667,0.8,1.2,1200,1-2,1-2
15935711,Thule Pack 2 Cab Lock 309830,1.1,0.345,0.414,1.1,1100,1-2,1-2
15935700,Thule Door Lock,0.9,0.667,0.8,0.9,900,0-1,0-1
15935709,Thule Door Lock Frame,0.9,0.667,0.8,0.9,900,0-1,0-1
15935929,Thule Door Lock x3,2.7,0.906,1.088,2.7,2700,2-3,2-3
15939159,Thule Door Frame x3,2.7,0.906,1.088,2.7,2700,2-3,2-3
15935712,Thule Inside Out Lock G2 307339,1.2,0.526,0.632,1.2,1200,1-2,1-2
15939170,Thule Universal Look Thule x1 Negro,1.0,0.337,0.405,1.0,1000,0-1,0-1
15939171,Thule Universal Look Thule x2 Negro,1.9,0.436,0.524,1.9,1900,1-2,1-2
15939167,Thule Universal Look Thule x1 Blanco,1.0,0.337,0.405,1.0,1000,0-1,0-1
15939168,Thule Universal Look Thule x2 Blanco,1.9,0.436,0.524,1.9,1900,1-2,1-2
920466,Cargador Bateria CBE 10 Ah,1.3,1.21,1.452,1.452,1452,1-2,1-2
933786,Cargador Batería CBE 16 Ah,1.3,1.21,1.452,1.452,1452,1-2,1-2
15945624,Cargador Bateria CTEK PRO 25S,2.1,0.939,1.126,2.1,2100,2-3,2-3
15942483,Cargador Bateria CTEK MXS 5A,1.0,1.76,2.112,2.112,2112,1-2,2-3
OMNIMAX,Maxview Antena Omnimax Pro Truck,1.5,2.683,3.22,3.22,3220,2-3,3-4
927438,Antena Teleco Wing 22,2.0,4.34,5.208,5.208,5208,4-5,5-6
15935625,Antena Tonna Compact,1.4,1.76,2.112,2.112,2112,1-2,2-3
15935530,Antena Tonna TV Terrestre Omnidireccional,1.9,3.289,3.947,3.947,3947,3-4,3-4
15935121,Antena Teleplus 3G,3.1,4.284,5.141,5.141,5141,4-5,5-6
15938996,Antena Tonna Delta Pro,,0.0,0.0,0.0,0,0-1,0-1
EM203,Mover ENDURO EM203,32.5,16.661,19.994,32.5,32500,30-40,30-40
EM303AA,Mover ENDURO EM303 semiautomatico,31.2,9.876,11.851,31.2,31200,30-40,30-40
EM303A,Mover ENDURO EM303+,30.1,10.255,12.307,30.1,30100,30-40,30-40
15935617,Escalon Doble 159352617,38.0,0.0,0.0,38.0,38000,30-40,30-40
LS100,Dometic LS 100,0.7,0.85,1.02,1.02,1020,0-1,1-2
LS200,Dometic LS 200,0.7,0.85,1.02,1.02,1020,0-1,1-2
LS300,Dometic LS 300,1.0,1.329,1.595,1.595,1595,1-2,1-2
1350/001,"MARTINETE ACERO ZINCADO ALTURA MAX, 250 MM",8.0,4.8,5.76,8.0,8000,7-8,7-8
1350/002,"MARTINETE ACERO ZINCADO ALTURA MAX, 350 MM",8.9,6.133,7.36,8.9,8900,8-9,8-9
1350/003,"MARTINETE ACERO ZINCADO ALTURA MAX, 400 MM",9.1,7.2,8.64,9.1,9100,9-10,9-10
1350/004,"MARTINETE ACERO ZINCADO ALTURA MAX, 500 MM",11.2,8.533,10.24,11.2,11200,10-15,10-15
915816,MARTINETE FIAMMA,3.3,2.407,2.888,3.3,3300,3-4,3-4
915815,Juego 4 Jacks Aluminio,3.5,2.027,2.432,3.5,3500,3-4,3-4
SK10,Escalera Doble 2 peldaños con barandilla,20.0,54.4,65.28,65.28,65280,PALE,PALE
ESC2P,Escalón de Madera 2 peldaños para Mobil Homes,,0.0,0.0,0.0,0,0-1,0-1
ESC3P,Escalón de Madera 3 peldaños para Mobil Homes,,0.0,0.0,0.0,0,0-1,0-1
SR41,Escalón Metálico de Dos peldaños,,0.0,0.0,0.0,0,0-1,0-1
MH76,Escalón Tres peldaños de Metal,13.0,62.37,74.844,74.844,74844,PALE,PALE
ABG,Armario para Botellas de Gas,22.8,15.53,18.635,22.8,22800,20-25,20-25
DUCASA500,DUCASA EL-LC 500W,4.8,5.488,6.586,6.586,6586,5-6,6-7
DUCASA1000,DUCASA EL-LC 1000W,5.0,6.384,7.661,7.661,7661,6-7,7-8
ALKOPATAS,AL-KO - Soporte para Piezas giratorias,5.5,4.047,4.856,5.5,5500,5-6,5-6
911658,Dometic Aireador GY20,0.5,0.667,0.8,0.8,800,0-1,0-1
922555,Reich Pese Vehiculo,1.1,0.37,0.444,1.1,1100,1-2,1-2
15936444-2,Remitop Vario 2 40x40 con manivela,6.4,12.35,14.82,14.82,14820,10-15,10-15
15936444,Remitop Vario 2 40x40 con compases,6.4,12.35,14.82,14.82,14820,10-15,10-15
15937712,Dometic Micro Heki SIN ventilación con oscurecedor y mosquitera,2.5,4.973,5.967,5.967,5967,4-5,5-6
15942079,Dometic Midi Heki 500x700 mm CON ventilación forzada,10.3,24.418,29.302,29.302,29302,20-25,25-30
924007,Dometic Heki 2,13.4,28.728,34.474,34.474,34474,25-30,30-40
15938729,Dometic Mini Heki 25-42 mm sin Ventilación Forzada,4.7,11.987,14.384,14.384,14384,10-15,10-15
927600,Dometic Mini Heki 25-42 mm con Ventilación Forzada,4.6,12.078,14.494,14.494,14494,10-15,10-15
15938730,Dometic Mini Heki 43-60 mm Sin Ventilación Forzada,4.6,12.078,14.494,14.494,14494,10-15,10-15
MHS2342,Dometic Mini Heki S 23-42 con ventilación forzada,3.8,10.388,12.466,12.466,12466,10-15,10-15
MHS4360,Dometic Mini Heki S 43-60 sin ventilación forzada,4.6,12.078,14.494,14.494,14494,10-15,10-15
15944956,Milenco Calzo Triple,5.1,5.5,6.6,6.6,6600,5-6,6-7
15944923,Milenco Calzo Trident,8.5,8.8,10.56,10.56,10560,8-9,10-15
15944957,Milenco Calzo Quattro,9.3,8.958,10.75,10.75,10750,9-10,10-15
6613,Milenco 6613 Grand Aero Platinum,2.0,2.977,3.572,3.572,3572,2-3,3-4
2899,Milenco Aero Twin Pack,1.7,2.119,2.543,2.543,2543,2-3,2-3
3094,Milenco Bloqueador Patas,0.9,1.087,1.305,1.305,1305,1-2,1-2
2004,Milenco Antirrobo Estabilizador ALS 3004,3.3,0.952,1.142,3.3,3300,3-4,3-4
2851,Milenco Antirrobo Estabilizador WS3000,3.3,0.952,1.142,3.3,3300,3-4,3-4
0512,Milenco 0512 Cerradura Comercial para Volante,1.3,0.667,0.8,1.3,1300,1-2,1-2
4268,Milenco 4268 Protectores Blanco para Retrovisor de Brazo Largo,1.6,3.64,4.368,4.368,4368,3-4,4-5
4657,Milenco 4657 Protectores Negro para Retrovisor de Brazo Largo,1.6,3.813,4.576,4.576,4576,3-4,4-5
4732,Milenco 4732 Protectores Blancos para Retrovisor de Brazo Corto,1.6,3.813,4.576,4.576,4576,3-4,4-5
4381,Milenco Falcon Super Steady,1.3,1.403,1.683,1.683,1683,1-2,1-2
JOCKEY-FA860,Jockey FA860 RJ 080 Automatico,9.7,6.207,7.448,9.7,9700,9-10,9-10
1212382,AL-KO  Rueda Jockey Automatica Ø60,10.7,4.8,5.76,10.7,10700,10-15,10-15
931923,AL-KO  Rueda Jockey Premium,10.7,4.8,5.76,10.7,10700,10-15,10-15
15938537,AL-KO  Amortiguador Verde,1.3,0.247,0.297,1.3,1300,1-2,1-2
15938538,AL-KO  Amortiguador Azul,1.3,0.247,0.297,1.3,1300,1-2,1-2
15938539,AL-KO  Amortiguador Rojo,1.3,0.247,0.297,1.3,1300,1-2,1-2
15938540,AL-KO  Amortiguador Negro,0.9,0.247,0.297,0.9,900,0-1,0-1
15938540x4,AL-KO  Set 4 Amortiguadores Negro,3.6,0.77,0.924,3.6,3600,3-4,3-4
697094,Soplair Sillon Major,8.4,22.027,26.432,26.432,26432,20-25,25-30
909660,Truma Chimenea,0.5,0.667,0.8,0.8,800,0-1,0-1
910636,Truma Tapa Chimenea,0.5,0.667,0.8,0.8,800,0-1,0-1
15937332,Thule Kit 2 Pomos,0.5,0.667,0.8,0.8,800,0-1,0-1
933677,Fiamma Ventilator Turbo-Kit,2.5,2.68,3.216,3.216,3216,2-3,3-4
931142,Fiamma Kit Security Lock,0.5,0.667,0.8,0.8,800,0-1,0-1
4923,Milenco Precisión Calibre,1.6,0.565,0.678,1.6,1600,1-2,1-2
15938878,Thule Soporte Escalera,2.0,2.84,3.408,3.408,3408,2-3,3-4
15938880,Thule Escalera Telescopica,12.7,10.955,13.146,13.146,13146,10-15,10-15
15943398,"Victron Energy Convertidor Phoenix 12/375 - VE, Direct Schuko (NT-1221)",4.5,2.376,2.851,4.5,4500,4-5,4-5
15943399,"Victron Energy Convertidor Phoenix 12/500 - VE, Direct Schuko (NT-780)",4.8,2.368,2.842,4.8,4800,4-5,4-5
15943402,Victron Energy Llave Electrónica Bluetooth,0.5,0.667,0.8,0.8,800,0-1,0-1
15943405,Victron Energy Regulador Solar MPPT 75/15,0.7,0.667,0.8,0.8,800,0-1,0-1
15943407,Victron Energy Cargador Blue Smart IP22 12/15 (NT-889),1.5,0.635,0.762,1.5,1500,1-2,1-2
15943409,Victron Energy Cargador Blue Smart IP22 12/30 (NT-1196),1.5,0.635,0.762,1.5,1500,1-2,1-2
15945564,Victron Energy Convertidor Phoenix 12V 250W (NT-1213),3.5,2.376,2.851,3.5,3500,3-4,3-4
NM-356,Victron Energy Smartsolar MPPT 100/300 (NH-356),1.3,0.667,0.8,1.3,1300,1-2,1-2
NM-377,Victron Energy Smartsolar MPPT 100/200 Hasta 48V,0.6,0.667,0.8,0.8,800,0-1,0-1
NT-573,Victron Energy Panel Remoto Digital Multi 200/200A GX,0.5,0.667,0.8,0.8,800,0-1,0-1
NT-763,Victron Energy Protector Bateria 12/24V - 220A,0.5,0.667,0.8,0.8,800,0-1,0-1
NT-777,Victron Energy Protector Bateria 12/24V - 100A,0.5,0.667,0.8,0.8,800,0-1,0-1
NT-795,Victron Energy Protector Bateria 12/24V - 65A,0.5,0.667,0.8,0.8,800,0-1,0-1
NT-838,Victron Energy Cargador Blue Smart IP22 12/30 (3),1.5,0.635,0.762,1.5,1500,1-2,1-2
NT-843,Victron Energy Monitor de baterias GRIS,1.2,0.616,0.739,1.2,1200,1-2,1-2
NT-847,Victron Energy Blue Smart IP65 Charger 12/7 + DC Connector,1.2,0.759,0.911,1.2,1200,1-2,1-2
NT-863,Victron Energy Cargador Blue Smart IP22 12/15 (3),1.5,0.635,0.762,1.5,1500,1-2,1-2
NT-876,Victron Energy Cargador Blue Smart IP22 12/20,1.5,0.635,0.762,1.5,1500,1-2,1-2
NT-921,Victron Energy Cargador Blue Smart 24/8 IP22,1.4,0.635,0.762,1.4,1400,1-2,1-2
NT-1001,Victron Energy Cargador Orion 30  AISLADO (NT-1101),1.9,0.613,0.736,1.9,1900,1-2,1-2
NT-1069,Victron Energy Convertidor Phoenix 12V 1200W (NT-1553),8.7,4.4,5.28,8.7,8700,8-9,8-9
NT-1079,Victron Energy Cargador Orion 30 NO AISLADO,1.9,0.613,0.736,1.9,1900,1-2,1-2
NT-1099,Victron Energy Orion-TR Smart 24/24-17A (400W) NO ISOLADO DC-DC,1.5,0.613,0.736,1.5,1500,1-2,1-2
NT-1178,Victron Energy Phoenix Inverter 24/500 230V Schuko VE Direct,4.6,2.368,2.842,4.6,4600,4-5,4-5
NT-1181,Victron Energy Convertidor Phoenix 12V 800W,7.1,3.78,4.536,7.1,7100,7-8,7-8
NT-1308,Victron Energy Smartshunt 500A/50MV,0.5,0.667,0.8,0.8,800,0-1,0-1
NT-1326,Victron Energy Monitor de baterias NEGRO,1.2,0.616,0.739,1.2,1200,1-2,1-2
NT-1420,Victron Energy Cerbo GX MK2,0.5,0.667,0.8,0.8,800,0-1,0-1
NT-1478,Victron Energy SmartShunt IP65 300 amperios (Bluetooth),0.5,0.667,0.8,0.8,800,0-1,0-1
NT-892,Victron Energy Cargador Blue Smart IP22 24/16,1.5,0.635,0.762,1.5,1500,1-2,1-2
NT-894,Victron Energy Inversor Phoenix 24/1200,8.9,4.34,5.208,8.9,8900,8-9,8-9
NT-791,Victron Energy Inversor Phoenix 24/375,4.1,2.376,2.851,4.1,4100,4-5,4-5
NT-793,Victron Energy Inversor Phoenix 24/250,3.2,2.085,2.502,3.2,3200,3-4,3-4
NT-1091,Victron Energy Convertidor Orion TR Smart 24/12 30A (NO AISLADO),1.9,0.613,0.736,1.9,1900,1-2,1-2
NT-1114,Victron Energy Convertidor Orion TR Smart 12/24 10A (AISLADO),1.2,0.613,0.736,1.2,1200,1-2,1-2
NT-1301,Victron Energy Convertidor Orion TR Smart 24/12 30A (AISLADO),1.8,0.613,0.736,1.8,1800,1-2,1-2
NT-1390,Victron Energy SmartShunt IP65  500 amperios (Bluetooth),0.5,0.667,0.8,0.8,800,0-1,0-1
NT-1416,Victron Energy Convertidor Orion XS 12/12 50A,0.3,0.363,0.435,0.435,435,0-1,0-1
NT-857,Victron Energy Inversor Phoenix 24/500,7.0,3.78,4.536,7.0,7000,6-7,6-7
NT-1066,Victron Energy VE.Bus Smart Mochila (Bluetooth),0.5,0.667,0.8,0.8,800,0-1,0-1
NH-357,Victron Energy SmartSolar MPPT 100V 50 amperios 12/24-Voltios,1.7,0.667,0.8,1.7,1700,1-2,1-2
15944494,MPK Claraboya 28x28,1.7,3.36,4.032,4.032,4032,3-4,4-5
15944496,MPK Claraboya 40x40,4.0,9.425,11.31,11.31,11310,9-10,10-15
8086H3122B,Meroni UFO +PLUS INOX x1,1.4,0.667,0.8,1.4,1400,1-2,1-2
8086H3232B,Meroni UFO +PLUS INOX x2,3.0,0.576,0.692,3.0,3000,2-3,2-3
8086H3332B,Meroni UFO +PLUS INOX x3,4.4,1.575,1.89,4.4,4400,4-5,4-5
8080331215D,Meroni UFO AUTO Simple INOX x1,0.9,0.667,0.8,0.9,900,0-1,0-1
8080332315D,Meroni UFO AUTO Simple INOX x2,1.7,0.667,0.8,1.7,1700,1-2,1-2
8092331215,Meroni UFO2 INOX x1,0.8,0.667,0.8,0.8,800,0-1,0-1
8092332415,Meroni UFO2 INOX x2,1.5,0.667,0.8,1.5,1500,1-2,1-2
80905212PN,Meroni UFO3 SMART DUO Negro x1,1.4,0.48,0.576,1.4,1400,1-2,1-2
80905223PN,Meroni UFO3 SMART DUO Negro x2,2.8,0.88,1.056,2.8,2800,2-3,2-3
8090S212PB,Meroni UFO3 SMART DUO Blanco x1,1.3,0.667,0.8,1.3,1300,1-2,1-2
8090S223PB,Meroni UFO3 SMART DUO Blanco x2,2.8,0.576,0.692,2.8,2800,2-3,2-3
8090CT12PB,Meroni UFO3 COMFORT Blanco x1,1.3,0.667,0.8,1.3,1300,1-2,1-2
8090CT23PN,Meroni UFO3 COMFORT Negro x2,2.8,0.576,0.692,2.8,2800,2-3,2-3
B0CYHRTPRQ,"EZA Cargador Smart Lithium 3,5A",0.7,0.477,0.572,0.7,700,0-1,0-1
